workload,query_id,access_latency_ms,baseline_latency_ms,prefetch_cost_ms,est_ttft_ms,reward,n_prefetched,n_useful
rag,20,26.81469198691193,27.3,0.0,0.03931298851966858,0.48530801308806915,0,0
rag,21,26.838573018577883,27.3,0.0,0.038197002140805125,0.46142698142211813,0,0
rag,22,26.83924998822622,27.3,0.0,0.04360399907454848,0.4607500117737793,0,0
rag,23,26.838002030528152,27.3,0.0,0.04386401269584894,0.4619979694718488,0,0
rag,24,26.841406989516692,27.3,0.0,0.04364000051282346,0.4585930104833089,0,0
rag,25,26.83227999918163,27.3,0.0,0.039336999179795384,0.46772000081837106,0,0
rag,26,26.843821981712246,27.3,0.0,0.04423399514053017,0.45617801828775484,0,0
rag,27,26.838274995354006,27.3,0.0,0.04326099588070065,0.4617250046459951,0,0
rag,28,26.846077979682015,27.3,0.0,0.048604997573420405,0.4539220203179859,0,0
rag,29,26.846880998020062,27.3,0.0,0.05071099440101534,0.45311900197993893,0,0
rag,30,26.849459000770004,27.3,0.0,0.05988500197418034,0.4505409992299967,0,0
rag,31,26.82441001783591,27.3,0.0,0.047555004130117595,0.47558998216409165,0,0
rag,32,26.821790993236938,27.3,0.0,0.04517199704423547,0.47820900676306266,0,0
rag,33,26.82188997536432,27.3,0.0,0.04499999340623617,0.4781100246356793,0,0
rag,34,26.818285014852883,27.3,0.0,0.044037995394319296,0.48171498514711786,0,0
rag,35,26.81875799575355,27.3,0.0,0.04438900214154273,0.48124200424645025,0,0
rag,36,26.81893899247516,27.3,0.0,0.04483399970922619,0.4810610075248398,0,0
rag,37,26.824271992919968,27.3,0.0,0.044141997932456434,0.4757280070800327,0,0
rag,38,26.82305799939204,27.3,0.0,0.047200999688357115,0.4769420006079592,0,0
rag,39,26.849337012064645,27.3,0.0,0.05210700328461826,0.4506629879353561,0,0
rag,40,26.82198299120646,27.3,0.0,0.04654900112655014,0.4780170087935396,0,0
rag,41,26.820909991185182,27.3,0.0,0.04615700163412839,0.47909000881481845,0,0
rag,42,26.81812302293256,27.3,0.0,0.04183300188742578,0.48187697706744004,0,0
rag,43,26.823944036406466,27.3,0.0,0.04425100632943213,0.4760559635935344,0,0
rag,44,26.822356015001425,27.3,0.0,0.04896700556855649,0.47764398499857563,0,0
rag,45,26.81720401127823,27.3,0.0,0.043185005779378116,0.4827959887217723,0,0
rag,46,26.81653399744537,27.3,0.0,0.042620988097041845,0.483466002554632,0,0
rag,47,26.818572997255252,27.3,0.0,0.04423799691721797,0.4814270027447485,0,0
rag,48,26.817344975681046,27.3,0.0,0.04289300704840571,0.48265502431895513,0,0
rag,49,26.816300977626817,27.3,0.0,0.042857995140366256,0.48369902237318385,0,0
rag,50,26.820286994590425,27.3,0.0,0.045187000068835914,0.4797130054095753,0,0
nocontext,1,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,2,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,3,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,4,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,5,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,6,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,7,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,8,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,9,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,10,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,11,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,12,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,13,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,14,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,15,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,16,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,17,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,18,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,19,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,20,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,21,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,22,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,23,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,24,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,25,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,26,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,27,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,28,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,29,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,30,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,31,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,32,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,33,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,34,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,35,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,36,26.6,26.6,0.0,26.6,0.0,0,0
