episode,total_reward,hit_rate_pct,prefetch_accuracy_pct,total_prefetches,useful_prefetches,avg_measured_latency_ms,avg_baseline_latency_ms,total_measured_latency_ms,total_baseline_latency_ms,latency_reduction_pct,avg_ttft_ms,median_ttft_ms,p95_ttft_ms,tier_L1,tier_L2,tier_L3,tier_MISS,tier_L1_pct,tier_L2_pct,tier_L3_pct,tier_MISS_pct,latency_L1_ms,latency_L2_ms,latency_L3_ms,latency_MISS_ms
118,17.75193240935494,85.75,0.0,34,0,32.146,31.01,1607.298,1550.5,-3.66,2.175,0.05,7.005,343,0,0,57,85.8,0.0,0.0,14.2,12.079,0.0,0.0,1516.2
119,18.178080408076124,85.75,0.0,31,0,32.008,31.01,1600.379,1550.5,-3.22,2.036,0.051,8.109,343,0,0,57,85.8,0.0,0.0,14.2,12.047,0.0,0.0,1516.2
120,17.942598653003355,85.75,0.0,33,0,32.056,31.01,1602.786,1550.5,-3.37,2.086,0.049,5.95,343,0,0,57,85.8,0.0,0.0,14.2,12.019,0.0,0.0,1516.2
121,17.135501820571502,85.75,0.0,33,0,32.092,31.01,1604.584,1550.5,-3.49,2.111,0.06,5.911,343,0,0,57,85.8,0.0,0.0,14.2,12.826,0.0,0.0,1516.2
122,17.82372643681754,85.75,0.0,34,0,32.09,31.01,1604.487,1550.5,-3.48,2.12,0.05,6.85,343,0,0,57,85.8,0.0,0.0,14.2,12.007,0.0,0.0,1516.2
123,16.603544656238192,85.75,0.0,37,0,32.529,31.01,1626.435,1550.5,-4.9,2.547,0.055,11.706,343,0,0,57,85.8,0.0,0.0,14.2,12.833,0.0,0.0,1516.2
124,13.161668279951693,85.75,0.0,24,0,32.191,31.01,1609.575,1550.5,-3.81,2.129,0.087,7.971,343,0,0,57,85.8,0.0,0.0,14.2,17.983,0.0,0.0,1516.2
125,13.696721728507164,85.75,0.0,26,0,32.234,31.01,1611.679,1550.5,-3.95,2.178,0.07,10.756,343,0,0,57,85.8,0.0,0.0,14.2,17.185,0.0,0.0,1516.2
126,12.292110531991021,85.75,0.0,37,0,32.953,31.01,1647.629,1550.5,-6.26,2.899,0.072,14.185,343,0,0,57,85.8,0.0,0.0,14.2,17.144,0.0,0.0,1516.2
127,13.914041121768088,85.75,0.0,24,0,32.188,31.01,1609.392,1550.5,-3.8,2.132,0.071,9.566,343,0,0,57,85.8,0.0,0.0,14.2,17.231,0.0,0.0,1516.2
128,18.00597546684239,85.75,0.0,30,0,32.085,31.01,1604.258,1550.5,-3.47,2.112,0.055,7.201,343,0,0,57,85.8,0.0,0.0,14.2,12.35,0.0,0.0,1516.2
129,13.12870034878343,85.75,0.0,28,0,32.4,31.01,1619.989,1550.5,-4.48,2.341,0.069,8.862,343,0,0,57,85.8,0.0,0.0,14.2,17.49,0.0,0.0,1516.2
130,14.224447596146307,85.75,0.0,23,0,32.057,31.01,1602.873,1550.5,-3.38,2.003,0.073,9.103,343,0,0,57,85.8,0.0,0.0,14.2,17.052,0.0,0.0,1516.2
131,12.368376428257195,85.75,0.0,34,0,32.732,31.01,1636.583,1550.5,-5.55,2.673,0.077,13.731,343,0,0,57,85.8,0.0,0.0,14.2,17.462,0.0,0.0,1516.2
132,13.447659769697934,85.75,0.0,29,0,32.426,31.01,1621.28,1550.5,-4.56,2.373,0.07,10.825,343,0,0,57,85.8,0.0,0.0,14.2,17.04,0.0,0.0,1516.2
133,14.014199334940196,85.75,0.0,24,0,32.119,31.01,1605.942,1550.5,-3.58,2.064,0.067,6.224,343,0,0,57,85.8,0.0,0.0,14.2,17.131,0.0,0.0,1516.2
