episode,total_reward,hit_rate_pct,prefetch_accuracy_pct,total_prefetches,useful_prefetches,avg_measured_latency_ms,avg_baseline_latency_ms,total_measured_latency_ms,tier_L1,tier_L2,tier_L3,tier_MISS
254,-348.39486269441505,0.0,0.0,245,0,13.97,12.7,698.28,0,0,0,50
255,-343.4605397240349,0.0,0.0,241,0,13.97,12.7,698.53,0,0,0,50
256,-378.97883602985434,0.0,0.0,252,0,14.05,12.7,702.62,0,0,0,50
257,-349.26190349316323,0.0,0.0,246,0,13.97,12.7,698.62,0,0,0,50
258,-377.98632583448637,0.0,0.0,259,0,13.99,12.7,699.35,0,0,0,50
259,-359.44019500370575,0.0,0.0,250,0,14.0,12.7,699.98,0,0,0,50
260,-362.8668786257751,0.0,0.0,256,0,13.97,12.7,698.57,0,0,0,50
261,-397.66489173643237,0.0,0.0,249,0,14.09,12.7,704.62,0,0,0,50
262,-347.7909297324709,0.0,0.0,239,0,13.98,12.7,699.0,0,0,0,50
263,-360.36870448459246,0.0,0.0,254,0,13.97,12.7,698.7,0,0,0,50
264,-371.6341722691222,0.0,0.0,242,0,14.03,12.7,701.65,0,0,0,50
265,-377.73151859272576,0.0,0.0,245,0,14.02,12.7,700.83,0,0,0,50
266,-343.1503783175879,0.0,0.0,240,0,13.97,12.7,698.63,0,0,0,50
267,-426.6049981302967,0.0,0.0,247,0,14.12,12.7,706.11,0,0,0,50
268,-484.3821539182658,0.0,0.0,260,0,14.37,12.7,718.46,0,0,0,50
269,-451.8238842745813,0.0,0.0,247,0,14.3,12.7,714.86,0,0,0,50
270,-495.2282444684693,0.0,0.0,259,0,14.4,12.7,720.01,0,0,0,50
271,-490.0120344683318,0.0,0.0,242,0,14.42,12.7,721.2,0,0,0,50
272,-497.4258246692852,0.0,0.0,242,0,14.44,12.7,722.03,0,0,0,50
273,-502.3188202611367,0.0,0.0,255,0,14.38,12.7,719.2,0,0,0,50
274,-384.84337186503996,0.0,0.0,254,0,14.05,12.7,702.4,0,0,0,50
275,-374.3326201814871,0.0,0.0,257,0,14.0,12.7,700.07,0,0,0,50
276,-345.5434877793061,0.0,0.0,220,0,14.04,12.7,702.03,0,0,0,50
277,-381.4448777340316,0.0,0.0,255,0,14.03,12.7,701.59,0,0,0,50
278,-394.87339474726235,0.0,0.0,260,0,14.0,12.7,700.2,0,0,0,50
279,-389.403609938041,0.0,0.0,257,0,14.04,12.7,701.85,0,0,0,50
280,-368.2443692326416,0.0,0.0,246,0,14.02,12.7,700.76,0,0,0,50
281,-366.254654345636,0.0,0.0,234,0,14.1,12.7,705.14,0,0,0,50
282,-389.1060258604648,0.0,0.0,257,0,14.05,12.7,702.45,0,0,0,50
283,-374.8651327708816,0.0,0.0,255,0,14.01,12.7,700.67,0,0,0,50
284,-383.96070885905243,0.0,0.0,249,0,14.03,12.7,701.64,0,0,0,50
285,-396.5088777197227,0.0,0.0,271,0,14.02,12.7,700.96,0,0,0,50
286,-386.0570215475906,0.0,0.0,259,0,14.02,12.7,701.23,0,0,0,50
287,-380.7733379654609,0.0,0.0,242,0,14.08,12.7,703.81,0,0,0,50
288,-368.3974373956081,0.0,0.0,246,0,14.04,12.7,701.89,0,0,0,50
289,-400.55309980335744,0.0,0.0,246,0,14.05,12.7,702.61,0,0,0,50
290,-362.1459700211269,0.0,0.0,248,0,13.99,12.7,699.69,0,0,0,50
291,-377.0872241266806,0.0,0.0,247,0,14.07,12.7,703.75,0,0,0,50
292,-380.76466395559873,0.0,0.0,257,0,14.02,12.7,701.23,0,0,0,50
293,-349.89364455376256,0.0,0.0,223,0,14.04,12.7,702.18,0,0,0,50
294,-356.28691075468095,0.0,0.0,238,0,14.01,12.7,700.48,0,0,0,50
295,-350.8480031050739,0.0,0.0,232,0,14.03,12.7,701.53,0,0,0,50
296,-357.09206640948327,0.0,0.0,234,0,14.05,12.7,702.33,0,0,0,50
297,-374.12018882717365,0.0,0.0,256,0,14.01,12.7,700.72,0,0,0,50
298,-368.8429641083995,0.0,0.0,231,0,14.06,12.7,702.86,0,0,0,50
299,-374.6494270697469,0.0,0.0,251,0,14.04,12.7,701.95,0,0,0,50
300,-349.209216066471,0.0,0.0,234,0,14.01,12.7,700.63,0,0,0,50
301,-389.1541485294557,0.0,0.0,241,0,14.11,12.7,705.54,0,0,0,50
302,-351.73312153823485,0.0,0.0,235,0,14.01,12.7,700.63,0,0,0,50
303,-357.0433290641922,0.0,0.0,226,0,14.05,12.7,702.29,0,0,0,50
304,-400.25472492119343,0.0,0.0,244,0,14.37,12.7,718.28,0,0,0,50
305,-349.25061269407803,0.0,0.0,231,0,14.01,12.7,700.67,0,0,0,50
306,-383.07496252145637,0.0,0.0,243,0,14.06,12.7,703.03,0,0,0,50
307,-342.6440925526062,0.0,0.0,234,0,13.99,12.7,699.46,0,0,0,50
308,-350.4542999139464,0.0,0.0,238,0,13.99,12.7,699.37,0,0,0,50
309,-390.5135722080478,0.0,0.0,251,0,14.06,12.7,702.82,0,0,0,50
310,-376.15625112600026,0.0,0.0,255,0,14.02,12.7,700.85,0,0,0,50
311,-399.9078990298046,0.0,0.0,243,0,14.11,12.7,705.32,0,0,0,50
312,-344.6951743105007,0.0,0.0,233,0,14.01,12.7,700.58,0,0,0,50
313,-359.8493589459905,0.0,0.0,246,0,14.0,12.7,699.82,0,0,0,50
314,-429.7148564039693,0.0,0.0,255,0,14.09,12.7,704.66,0,0,0,50
315,-362.48110319024903,0.0,0.0,252,0,13.99,12.7,699.37,0,0,0,50
316,-343.98721769924526,0.0,0.0,234,0,14.0,12.7,700.24,0,0,0,50
